Year,TeamLeft,PointsLeft,TeamRight,PointsRight
2013,Louisville,82,Colorado St.,56
2013,Duke,66,Creighton,50
2013,Michigan St.,70,Memphis,48
2013,Oregon,74,Saint Louis,57
2013,Wichita St.,76,Gonzaga,70
2013,Ohio St.,78,Iowa St.,75
2013,Arizona,74,Harvard,51
2013,La Salle,76,Mississippi,74
2013,Indiana,58,Temple,52
2013,Miami FL,63,Illinois,59
2013,Marquette,74,Butler,72
2013,Syracuse,66,California,60
2013,Kansas,70,North Carolina,58
2013,Florida Gulf Coast,81,San Diego St.,71
2013,Florida,78,Minnesota,64
2013,Michigan,78,VCU,53
2013,Louisville,77,Oregon,69
2013,Duke,71,Michigan St.,61
2013,Wichita St.,72,La Salle,58
2013,Ohio St.,73,Arizona,70
2013,Syracuse,55,Marquette,39
2013,Michigan,87,Kansas,85
2013,Florida,62,Florida Gulf Coast,50
2013,Louisville,85,Duke,63
2013,Wichita St.,70,Ohio St.,66
2013,Syracuse,55,Marquette,39
2013,Michigan,79,Florida,59
2013,Louisville,72,Wichita St.,68
2013,Michigan,61,Syracuse,56
2013,Louisville,82,Michigan,76
2012,Syracuse,72,UNC Asheville,65
2012,Ohio St.,78,Loyola MD,59
2012,Florida St.,66,St. Bonaventure,63
2012,Wisconsin,73,Montana,49
2012,Vanderbilt,79,Harvard,70
2012,Cincinnati,65,Texas,59
2012,Gonzaga,77,West Virginia,54
2012,Kansas St.,70,Southern Miss,64
2012,Michigan St.,89,LIU Brooklyn,67
2012,Norfolk St.,86,Missouri,84
2012,Marquette,88,BYU,68
2012,Louisville,69,Davidson,62
2012,New Mexico,75,Long Beach St.,68
2012,Murray St.,58,Colorado St.,41
2012,Florida,71,Virginia,45
2012,Saint Louis,61,Memphis,54
2012,Kentucky,81,Western Kentucky,66
2012,Lehigh,75,Duke,70
2012,Baylor,68,South Dakota St.,60
2012,Indiana,79,New Mexico St.,66
2012,VCU,62,Wichita St.,59
2012,Colorado,68,UNLV,64
2012,Xavier,67,Notre Dame,63
2012,Iowa St.,77,Connecticut,64
2012,North Carolina,77,Vermont,58
2012,Kansas,65,Detroit,50
2012,Georgetown,74,Belmont,59
2012,Ohio,65,Michigan,60
2012,South Florida,58,Temple,44
2012,North Carolina St.,79,San Diego St.,65
2012,Purdue,72,Saint Mary's,69
2012,Creighton,58,Alabama,57
2012,Syracuse,75,Kansas St.,59
2012,Ohio St.,73,Gonzaga,66
2012,Cincinnati,62,Florida St.,56
2012,Wisconsin,60,Vanderbilt,57
2012,Michigan St.,65,Saint Louis,61
2012,Florida,84,Norfolk St.,50
2012,Marquette,62,Murray St.,53
2012,Louisville,59,New Mexico,56
2012,Kentucky,87,Iowa St.,71
2012,Xavier,70,Lehigh,58
2012,Baylor,80,Colorado,63
2012,Indiana,63,VCU,61
2012,North Carolina,87,Creighton,73
2012,Kansas,63,Purdue,60
2012,North Carolina St.,66,Georgetown,63
2012,Ohio,62,South Florida,56
2012,Ohio St.,81,Syracuse,70
2012,Louisville,57,Florida,54
2012,Kentucky,102,Indiana,90
2012,Baylor,75,Xavier,70
2012,North Carolina,73,Ohio,65
2012,Kansas,60,North Carolina St.,57
2012,Kentucky,69,Louisville,61
2012,Kansas,64,Ohio St.,62
2012,Kentucky,67,Kansas,59
2011,Ohio St.,75,UTSA,46
2011,North Carolina,102,LIU Brooklyn,87
2011,Syracuse,77,Indiana St.,60
2011,Kentucky,59,Princeton,57
2011,West Virginia,84,Clemson,76
2011,Marquette,66,Xavier,55
2011,Washington,68,Georgia,65
2011,George Mason,61,Villanova,57
2011,Duke,87,Hampton,45
2011,San Diego St.,68,Northern Colorado,50
2011,Connecticut,81,Bucknell,52
2011,Texas,85,Oakland,81
2011,Arizona,77,Memphis,75
2011,Cincinnati,78,Missouri,63
2011,Temple,66,Penn St.,64
2011,Michigan,75,Tennessee,45
2011,Kansas,72,Boston University,53
2011,Notre Dame,69,Akron,56
2011,Purdue,65,Saint Peter's,43
2011,Morehead St.,62,Louisville,61
2011,Richmond,69,Vanderbilt,66
2011,VCU,74,Georgetown,56
2011,Florida St.,57,Texas A&M,50
2011,Illinois,73,UNLV,62
2011,Pittsburgh,74,UNC Asheville,51
2011,Florida,79,UC Santa Barbara,51
2011,BYU,74,Wofford,66
2011,Wisconsin,72,Belmont,58
2011,Kansas St.,73,Utah St.,68
2011,Gonzaga,86,St. John's,71
2011,UCLA,78,Michigan St.,76
2011,Butler,60,Old Dominion,58
2011,Ohio St.,98,George Mason,66
2011,North Carolina,86,Washington,83
2011,Marquette,66,Syracuse,62
2011,Kentucky,71,West Virginia,73
2011,Duke,73,Michigan,71
2011,San Diego St.,71,Temple,64
2011,Connecticut,69,Cincinnati,58
2011,Arizona,70,Texas,69
2011,Kansas,73,Illinois,59
2011,Florida St.,71,Notre Dame,57
2011,VCU,94,Purdue,76
2011,Richmond,65,Morehead St.,48
2011,Butler,71,Pittsburgh,70
2011,Florida,73,UCLA,65
2011,BYU,89,Gonzaga,67
2011,Wisconsin,70,Kansas St.,65
2011,Kentucky,62,Ohio St.,60
2011,North Carolina,81,Marquette,63
2011,Arizona,93,Duke,77
2011,Connecticut,74,San Diego St.,67
2011,Kansas,77,Richmond,57
2011,VCU,72,Florida St.,71
2011,Butler,61,Wisconsin,54
2011,Florida,83,BYU,74
2011,Connecticut,65,Arizona,63
2011,VCU,71,Kansas,61
2011,Butler,74,Florida,71
