YEAR,TEAM NO,TEAM,SEED,ROUND,NET RPI,RESUME,WAB RANK,ELO,B POWER,Q1 W,Q2 W,Q1 PLUS Q2 W,Q3 Q4 L,PLUS 500,R SCORE,BID TYPE
2019,792,Gonzaga,1,8,2,30,12,7,3,4,6,10,0,27,99.9,At-Large
2019,791,Houston,3,16,4,16,9,4,14,6,10,16,0,28,99.9,At-Large
2019,790,Iona,16,64,202,273,211,160,189.7,0,0,0,12,2,0,Auto
2019,789,Iowa,10,32,43,34,28,55,38.3,4,7,11,1,11,84.8,At-Large
2019,788,Iowa St.,6,64,21,11,22,30,15.3,8,3,11,0,12,99.3,Auto
2019,787,Kansas,4,32,20,6,8,21,17.7,11,7,18,0,16,99.6,At-Large
2019,786,Kansas St.,4,64,24,12,14,17,22.3,7,7,14,0,17,99.2,At-Large
2019,785,Kentucky,2,8,6,5,7,9,7.3,10,6,16,0,21,99.9,At-Large
2019,784,Liberty,12,32,58,82,58,37,78,2,1,3,3,19,2.6,Auto
2019,783,Louisville,7,64,22,28,32,52,19.3,4,5,9,1,7,98.1,At-Large
2019,782,LSU,3,16,14,8,11,12,20.3,9,7,16,0,20,99.7,At-Large
2019,781,Marquette,5,64,28,13,29,35,25.7,10,6,16,1,15,97.7,At-Large
2019,780,Maryland,6,32,27,25,24,36,26.7,6,6,12,1,12,97.4,At-Large
2019,779,Michigan,2,16,9,9,6,14,6.3,9,10,19,0,22,99.9,At-Large
